Red,237,10,63
Red-Orange,255,63,52
Orange,255,136,51
Yellow-Orange,255,174,66
Yellow,251,232,112
Yellow-Green,197,225,122
Green,1,166,56
Blue-Green,0,149,183
Blue,0,102,255
Blue-Violet,100,86,183
Violet,100,86,183
Red-Violet,187,51,133
Carnation Pink,255,166,201
Brown,175,89,62
Black,0,0,0
White,255,255,255
